Summary,Detection,Conclusion,Actionable,Time,cause_of_incident,severity_level,major_impact,
"During maintenance on our CDN edge cache layer in eqiad, all caching servers were accidentally depooled due to insufficient safeguards in tooling (and errors in following the maintenance procedure). Users whose traffic was routed to eqiad were unable to access wikis or any Wikimedia site for about 15 minutes.",Both humans and monitoring detected the issue. Humans were slightly faster. Icinga paged and alerted several SREs.,This outage could have been easily prevented if our infrastructure was more cautious about what it allowed.,"Explicit next steps to prevent this from happening again as much as possible, with Phabricator tasks linked for every step.NOTE: Please add the #wikimedia-incident Phabricator project to these follow-up tasks and move them to the ""follow-up/actionable"" column.* Create an automated alert for 'too many nodes depooled from a service' phab:T245058
* The depool & confctl commands should print warnings (or error out entirely, unless you override with e.g. a --force flag) if too many hosts are depooled from the same service. phab:T245059
* Investigate why Pybal didn't reject a configuration with only one server pooled, and send traffic to some of the depooled servers anyway. phab:T245060
* There should be an easy script for SREs and other technical contributors to override where their own traffic is routed for debugging tools (grafana/logstash/etc).  phab:T244761",2020-02-11,Configuration and Deployment Errors,high,Service Downtime,
"Shortly after the June 2021 switch over, the backend appservers were unable to serve requests to tr.wikivoyage.org for about 8 minutes from 14:22 UTC to 14:30 UTC. No other wikis were affected.Impact: For 8 minutes, registered users on the Turkish Wikivoyage were consistently unable to load any pages or perform any actions. The general public may have noticed it to a lesser extent due to caching at our CDN layer, although any pages absent from the CDN cache would have also been been temporarily unavailable.",,,T260297: db-eqiad and db-codfw sectionsByLoad can get out of sync,2021-06-29,Configuration and Deployment Errors,mid,Service Downtime,
"While performing a live switchover test in advance of the 2023 WMF datacenter switchover, an existing logical bug on the switchover test script accidentally set the secondary datacenter in read-only mode. While this didn't disrupt most users, mobile editing for people geolocated to codfw app servers (mostly, people in the Americas, and part of Asia and Oceania) had the editing interface disabled (while desktop users were redirected to edit through eqiad). While trying to fix this issue, an tooling interface issue caused all datacenters to be set in read-only mode, disabling editing for all users. This was quickly reverted for both datacenters and editing was restored.","Editing issue from mobile + codfw:
* No alerting went off because of this
* Reports from #wikimedia-tech surfaced ongoing issues when editing from the mobile interface (read only disabled the edit button, while on desktop edits were sent to codfw)Full read only mode issue:
* [12:20:17] <jinxer-wm>	 (MediaWikiHighErrorRate) firing: (4) Elevated rate of MediaWiki errors - appserver - https://wikitech.wikimedia.org/wiki/Application_servers/Runbook  - https://alerts.wikimedia.org/?q=alertname%3DMediaWikiHighErrorRateAlthough by this time the issue had been already corrected.Specifically, failing to set codfw as read-write wasn't detected as failing until some time passed and reports confirm the issue persisted.",,"sre.switchdc.mediawiki.07-set-readwrite doesn't reset both datacenter to rw 
* Stricter conftool data type validation?
* Uniformize mobile and desktop behaviour when in read only?
* : Globalize mwconfig ReadOnly (would avoid unpredictable behaviour when one DC is RO and not the other)==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	no 	
People                                        	Were fewer than five people paged?                                                                                	yes	No paging happened
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	yes	No one was paged
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	yes	https://docs.google.com/document/d/1SwXRLONP4fG6YKfCg5B26IozpQ6Hst424_ihOH0anEA/edit
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	yes	https://www.wikimediastatus.net/incidents/yhshxyn9pw22
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	no 	The task that caused the issue was the one created to prevent the issue (circular dependency)
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	no 	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	no 	Reverting the change caused confusion
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	yes	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	10",2023-02-22,Configuration and Deployment Errors,high,Service Downtime,
"A power cable issue in asw2-d3-eqiad during a scheduled PDU upgrade, caused hosts in racks D1, 3, 4 to be unavailable (13:34 UTC). It rebooted into a different firmware image than the rest of the switches and had to be upgraded; once this happened, all hosts were again available (15:02 UTC).User impact: Wikifeeds was not working properly; Horizon unavailability meant that creation and updating of WMCS images was broken; dns1002 was flapping, causing sporadic dns lookup failures for eqiad hosts; logins failed to stat1005, stat1006.Other impact: kafka-jumbo1006 being unavailable meant that some data was lost for webrequest and EventLogging topics; some bacula full backups had errors and failed to run and the director had to be restarted; ferm was broken on about 30 hosts that were running puppet when DNS connectivity was lost/resolution failed and had to be manually restarted",,,"Create icinga hostgroup per rack row / Can we make row/rack visible in icinga tactical overview of hosts down somehow? (Akosiaris)
* Investigate why asw-d3-eqiad rebooted into a different boot partition with different JunOS version, causing it to be “inactive” in the VCF - and prevent this from happening again - https://phabricator.wikimedia.org/T262290
** Run “show system snapshot media internal ” and “request system snapshot slice alternate” on all EX switches
* Wikifeeds (and as a consequence, its endpoint for restbase) basically went down until the network issues in eqiad were resolved. Figure out what the hidden dependency is there. (Akosiaris)
* Investigate why routing around a missing switch member D3 did not work, hosts in D1, D2, D4 (at least) were also impacted - https://phabricator.wikimedia.org/T256112
* Check Anycast configuration as it seemed the flapping connections caused a few issues with dns1002 - https://phabricator.wikimedia.org/T262372
* Rsyslog deliveries to cengit trallog must fail independently - https://phabricator.wikimedia.org/T226703",2020-09-08,Server and Infrastructure Failures,high,Service Downtime,
"For about 30 minutes, Logstash was not getting any messages from the MediaWiki servers.",Icinga alerts.,"Logstash consumer failed, which does not recover by itself. Details at https://phabricator.wikimedia.org/T230847#5427615",None. See https://phabricator.wikimedia.org/T230847Category:Incident documentation,2019-08-20,API and Integration Failures,mid,Degraded System Performance,
"A Puppet patch (change 817307) was merged which would accidentally install confd on a significant number of production hosts. The Puppet provisioning for these confd installations failed half-way due to having no corresponding Icinga checks defined. This in turn fired an Icinga alert: 10:44 <icinga-wm> PROBLEM - Widespread puppet agent failures on alert1001 is CRITICAL: 0.1057 ge 0.01 Engineers started work on reversing it, by cleaning up the inadvertent installs of confd via Cumin. Security posture was not compromised and there was no external user impact.Documentation:* puppet failures - https://logstash.wikimedia.org/goto/a5b60af08e257d90a469a78d12056ec2*Confd* Cumin",,,"Git defaults to shows the author's date, not the commit date. Consider adding the following aliases to your git config as fix:
** lola = log --graph --pretty=format:\""%C(auto)%h%d%Creset %C(cyan)(%cr)%Creset %C(green)%cn <%ce>%Creset %s\"" --all
** grephist = log --graph --pretty=format:\""%C(auto)%h%d%Creset %C(cyan)(%cr)%Creset %C(green)%cn <%ce>%Creset %s\"" --all -S==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	Overlap of 3
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	yes	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	yes	n/a
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	yes	n/a
Process                                       	Was the incident status section actively updated during the incident?                                             	yes	
Process                                       	Was the public status page updated?                                                                               	no 	
Process                                       	Is there a phabricator task for the incident?                                                                     	no 	
Process                                       	Are the documented action items assigned?                                                                         	yes	action items limited to improved local bash aliases
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	12",2022-08-10,Configuration and Deployment Errors,mid,Degraded System Performance,
Hotlinking of an image on Commons caused link saturation in the eqsin datacentre.,"This incident was detected via paging for port utilisation in eqsin: 
<+jinxer-wm> FIRING: Primary outbound port utilisation over 80%  #page: Alert for device asw1-eqsin.mgmt.eqsin.wmnet - Primary outbound port utilisation over 80%  #page
Additionally FastNetMon detected what it perceived as a DDoS. This was more or less correct as the behaviours witnessed are similar to a simple DDoS attack.","This was a somewhat familiar pattern, as we have seen similar issues in the past on a larger scale.","Create a list of action items that will help prevent this from happening again as much as possible. Link to or create a Phabricator task for every step.Add the #Sustainability (Incident Followup) and the #SRE-OnFire  Phabricator tag to these tasks.==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	yes	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	yes	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	yes	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	yes	
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	no 	
Process                                       	Is there a phabricator task for the incident?                                                                     	no 	
Process                                       	Are the documented action items assigned?                                                                         	no 	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	no 	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	no 	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	9",2024-05-31,Performance and Load Issues,mid,Degraded System Performance,
"On Sunday 5th at 11:22UTC, the primary hard drive of cr3-eqsin (one of the two Singapore POP routers) crashed.This caused the router to reboot into its second disk, containing only a factory default configuration. Everything failed over cleanly to the redundant router.Impact: We lost at max ~15000 requests/s in a 7min window (see screenshot, and graph).","Was automated monitoring first to detect it? Yes
* Did the appropriate alert(s) fire? Yes
* PROBLEM - Host cr3-eqsin is DOWN: PING CRITICAL - Packet loss = 100% (paging alert)
* Was the alert volume manageable? Yes, only relevant alerts fired
* Did they point to the problem with as much accuracy as possible? Yes, the router went down, and only the router down paging alert triggered","This outage showed that our hardware redundancy and failover are solid
* Juniper recently introduced a new feature: vmhost snapshot that would have prevented the lack of redundancy (but not the crash itself)","cr3-eqsin disk 1 failure - https://phabricator.wikimedia.org/T257154
* Investigate Junos vmhost snapshot - https://phabricator.wikimedia.org/T257153",2020-07-05,Server and Infrastructure Failures,mid,Degraded System Performance,
"Slow database queries resulted in php-fpm worker exhaustion.Impact: For about 10 minutes, backends were slow or unavailable for all wikis. This affected logged-in users, most bots/API queries, and some page views from unregistered users (pages that were recently edited or otherwise expired from the CDN cache). Documentation:* Public incident task: T291311 * Similar to Incident documentation/2021-09-04 appserver latency and Incident documentation/2021-04-15 appserver latency.",,,T284419 (restricted),2021-09-18,Performance and Load Issues,high,Service Downtime,
"GitLab was switched to the other data center as a planned maintenance in T329931. During the switchover some configuration had to be changed depending on the instance state (production or replica). The daily restore job was not disabled on the new production host in codfw, resulting in a backup being restored on the production host. So all actions between the backup (Feb 28th 00:04:00) and the restore (Feb 28th 02:00:00) are lost.","The issue was detected by automatic monitoring and task creation (probeDown)  in https://phabricator.wikimedia.org/T330717    alertname: ProbeDown
    instance: gitlab2002:443
    job: probes/custom
    prometheus: ops
    severity: task
    site: codfw
    source: prometheus
    team: serviceops-collab",,"Enable and disable restore automatically depending on instance status (https://gerrit.wikimedia.org/r/c/operations/puppet/+/892892) - done
*Automate failover/switchover using a cookbook - T330771
*Add check of timers after a failover/switchover (manual or automated)?
*Add safeguard to restore script for production/active host - T331295==Scorecard==Incident Engagement  ScoreCard                                              	Question                                                                                                          	Answer
(yes/no)	Notes
People                                        	Were the people responding to this incident sufficiently different than the previous five incidents?              	yes	Yes in general, no for GitLab specifically, but that's to be expected in this case.
People                                        	Were the people who responded prepared enough to respond effectively                                              	yes	
People                                        	Were fewer than five people paged?                                                                                	yes	
People                                        	Were pages routed to the correct sub-team(s)?                                                                     	no 	
People                                        	Were pages routed to online (business hours) engineers?  Answer “no” if engineers were paged after business hours.	no 	
Process                                       	Was the ""Incident status"" section atop the Google Doc kept up-to-date during the incident?                        	no 	No Google doc, the response was tracked in a task only.
Process                                       	Was a public wikimediastatus.net entry created?                                                                   	no 	
Process                                       	Is there a phabricator task for the incident?                                                                     	yes	
Process                                       	Are the documented action items assigned?                                                                         	yes	
Process                                       	Is this incident sufficiently different from earlier incidents so as not to be a repeat occurrence?               	yes	
Tooling                                       	To the best of your knowledge was the open task queue free of any tasks that would have prevented this incident? Answer “no” if there are
open tasks that would prevent this incident or make mitigation easier if implemented.	yes	
Tooling                                       	Were the people responding able to communicate effectively during the incident with the existing tooling?         	yes	
Tooling                                       	Did existing monitoring notify the initial responders?                                                            	yes	The monitoring was not meant for this specific failure, but worked nonetheless
Tooling                                       	Were the engineering tools that were to be used during the incident, available and in service?                    	yes	
Tooling                                       	Were the steps taken to mitigate guided by an existing runbook?                                                   	no 	
Total score (count of all “yes” answers above)	Total score (count of all “yes” answers above)                                                                    	10",2023-02-28,Configuration and Deployment Errors,mid,Data Loss or Corruption,
